b0 b1 det_rate instrument
-2.54990704302352 0.373118795729869 0.474986647676696 GLPB22-B5C
-2.7599704489818 0.377057685000097 0.433861491899591 GLPB22-B5C
-3.69057829250476 0.482606712843491 0.386505251913833 GLPB22-B5C
-3.92167148891769 0.554256367431799 0.437422111447392 GLPB22-B5C
-2.77814656531895 0.360044715861136 0.40484244258501 GLPB22-B5C
-4.87132488986349 0.645246923804416 0.371906711767848 GLPB22-B5C
-3.9356156974504 0.55214710268775 0.43172512017091 GLPB22-B5C
-3.33106921112316 0.492878856912373 0.476054833541036 GLPB22-B5C
-2.9869485349227 0.424102301787211 0.452554744525547 GLPB22-B5C
-2.72005552458924 0.435133276447048 0.526971693074595 GLPB22-B5C
-3.74613401531557 0.491984176971171 0.388107530710344 GLPB22-B5C
-3.74605575899592 0.537588463162711 0.450774434751647 GLPB22-B5C
-3.50346322112811 0.442397289498288 0.369058216129607 GLPB22-B5C
-3.6879805801001 0.506214471931675 0.419619013708385 GLPB22-B5C
-3.54852960497 0.48881449019738 0.424425850097917 GLPB22-B5C
-3.61219002255152 0.457345486073908 0.367633968310486 GLPB22-B5C
-3.21760817135214 0.460612169133262 0.454869147231618 GLPB22-B5C
-2.93979082751407 0.410835533131932 0.443653195656044 GLPB22-B5C
-3.21351851383682 0.436764527401803 0.421755385437066 GLPB22-B5C
-2.67544775189194 0.359653126385574 0.426918283781378 GLPB22-B5C
-2.34019486376374 0.314603031181348 0.434929677763931 GLPB22-B5C
-2.89777740729232 0.382157078678715 0.411073526793662 GLPB22-B5C
-4.69032323388777 0.634574815335789 0.392202243190315 GLPB22-B5C
-3.86440159474481 0.551143408464292 0.444899412497775 GLPB22-B5C
-3.13750204132821 0.458733045727197 0.469467687377604 GLPB22-B5C
-3.33361606173327 0.429694569713269 0.386327220936443 GLPB22-B5C
-3.56720052419366 0.531605083181521 0.479793484066228 GLPB22-B5C
-2.54182567855685 0.319277069022318 0.396653017625067 GLPB22-B5C
-3.84998712290223 0.559859699400649 0.45967598362115 GLPB22-B5C
-2.74465616338993 0.378501777558591 0.439380452198683 GLPB22-B5C
-3.06092991209969 0.441615911944408 0.461634324372441 GLPB22-B5C
-4.22929767021087 0.569533108907414 0.396296955670287 GLPB22-B5C
-4.32105791392443 0.557105076247189 0.362115008011394 GLPB22-B5C
-4.14062812030497 0.643178400217417 0.510948905109489 GLPB22-B5C
-4.09816119528695 0.548252384727938 0.393804521986826 GLPB22-B5C
-3.98081239988246 0.54168174276607 0.408403062132811 GLPB22-B5C
-3.00873496148289 0.436547502372796 0.465729036852412 GLPB22-B5C
-2.93609641556255 0.464404166723756 0.521096670820723 GLPB22-B5C
-3.73174268073138 0.631000278468715 0.576464304789033 GLPB22-B5C
-2.45378146033752 0.371577582591843 0.494392024212213 GLPB22-B5C
-4.20294096431517 0.598561610603373 0.440092576108243 GLPB22-B5C
-3.26679935670352 0.448243875158017 0.426740252803988 GLPB22-B5C
-3.90473651001722 0.533763792944146 0.413031867544953 GLPB22-B5C
-2.80702903647821 0.517647594090067 0.619013708385259 GLPB22-B5C
-3.69784453518032 0.529525420545717 0.449706248887306 GLPB22-B5C
-2.91266710761397 0.379121396912789 0.403418194765889 GLPB22-B5C
-4.16917732176233 0.549534087924998 0.381520384546911 GLPB22-B5C
-3.68237966446409 0.550634494003081 0.481751824817518 GLPB22-B5C
-3.70220423853593 0.491694316731142 0.396653017625067 GLPB22-B5C
-3.32841210233654 0.519649221956287 0.51361936977034 GLPB22-B5C
-3.25932550028264 0.463533312240948 0.450062310842087 GLPB22-B5C
-3.67595537953573 0.499653164941554 0.413031867544953 GLPB22-B5C
-3.44714766278307 0.469323983812134 0.418372796866655 GLPB22-B5C
-3.24086458918399 0.5313774083765 0.547801317429233 HISEQ
-3.34439267677681 0.531967541564859 0.526971693074595 HISEQ
-2.52341628304543 0.33086660935809 0.418016734911875 HISEQ
-2.6503807408013 0.372837808887666 0.452020651593377 HISEQ
-3.20388487801105 0.55045627057055 0.580380986291615 HISEQ
-2.50666781031735 0.426133026993092 0.560975609756098 HISEQ
-1.63478430309619 0.342776192825942 0.635570589282535 HISEQ
-3.40836319970743 0.482499589956332 0.445077443475165 HISEQ
-4.0078560775173 0.628983309262627 0.519138330069432 HISEQ
-2.25128804039971 0.416465418240091 0.602812889442763 HISEQ
-3.57393221909396 0.565873331830581 0.524657290368524 HISEQ
-3.50729077012709 0.557533793287723 0.527327755029375 HISEQ
-1.93339497404199 0.295297881822624 0.499554922556525 HISEQ
-3.58671391903105 0.553070182150761 0.504895851878227 HISEQ
-2.3764229758622 0.405109536984915 0.560085454869147 HISEQ
-2.13895157679976 0.394196226894966 0.596759836211501 HISEQ
-4.77964848033998 0.636721333455558 0.3781377959765 HISEQ
-4.59102735874117 0.595440778002506 0.360690760192273 HISEQ
-4.23129712640025 0.572377143680903 0.399679544240698 HISEQ
-2.82220430409309 0.394561079115502 0.445789567384725 HISEQ
-3.17165985987261 0.486072931570812 0.500623108420865 HISEQ
-3.21034460381326 0.59002577655394 0.628093288232152 HISEQ
-1.93511559548318 0.370778070345254 0.608865942674025 HISEQ
-2.95340412856308 0.437798799259859 0.479615453088837 HISEQ
-3.09610642648169 0.561028154268999 0.615275057860068 HISEQ
-4.04218541507512 0.549227141952858 0.40626669040413 HISEQ
-2.09237543236258 0.444195003074203 0.670642691828378 HISEQ
-2.34711443108934 0.417705033150597 0.583941605839416 HISEQ
-4.1116139054917 0.651648569284302 0.527505786006765 HISEQ
-2.85424414808322 0.461799715064558 0.535161118034538 HISEQ
-3.25007582114414 0.511706603885649 0.519316361046822 HISEQ
-3.03368616551672 0.49256729901909 0.539077799537119 HISEQ
-2.45872337411378 0.47319048972037 0.633434217553854 HISEQ
-1.68566337636128 0.235955738461313 0.466263129784583 HISEQ
-2.32850004597412 0.416982532511827 0.586968132455047 HISEQ
-3.52145559276112 0.48463280381771 0.424247819120527 HISEQ
-3.23895320664285 0.556567459939642 0.581093110201175 HISEQ
-2.26833965475195 0.473928255042612 0.671888908670109 HISEQ
-2.0045881707068 0.403436219799413 0.637528930033826 HISEQ
-2.6817092926302 0.541878051695796 0.672244970624889 HISEQ
-1.86651505455696 0.318308661896568 0.549581627203133 HISEQ
-1.97878334384095 0.395738036085952 0.632900124621684 HISEQ
-4.1213357032494 0.578017301617208 0.429054655510059 HISEQ
-2.27786646764215 0.365467551849951 0.525191383300694 HISEQ
-2.0725089179856 0.381489072320471 0.59373330959587 HISEQ
-3.33940680643598 0.53808810032426 0.536229303898878 HISEQ
-2.77409549872945 0.46011671783277 0.550115720135304 HISEQ
-1.77881887087451 0.31167985195854 0.559907423891757 HISEQ
-3.12145817192816 0.484096563329557 0.508634502403418 HISEQ
-2.12847122406956 0.373856623504496 0.570767313512551 HISEQ
-2.37192050627422 0.466905355888845 0.643047890332918 HISEQ
-3.01979153034864 0.450549768724725 0.483354103614029 HISEQ
-2.44220652804818 0.418082473467904 0.563824105394339 HISEQ
-2.20698514396972 0.448741262112266 0.653551717998932 HISEQ
-3.40824668749851 0.605134755174747 0.607975787787075 HISEQ
-2.63487093822108 0.402381015014863 0.498842798646965 HISEQ
-2.60892833137551 0.455333179997961 0.578956738472494 HISEQ
-1.92093689302697 0.306075699657193 0.518782268114652 HISEQ
-2.70127995214255 0.368953402827658 0.434929677763931 HISEQ
-3.79409424825164 0.522852718471563 0.420687199572726 HISEQ
-2.6748585095976 0.496029981787979 0.618479615453089 HISEQ
-1.69121486428607 0.300207899589531 0.563111981484778 HISEQ
-2.11663324817486 0.383303405844427 0.586612070500267 HISEQ
-2.1336891515864 0.405493040681107 0.613138686131387 HISEQ
-2.13758650819545 0.359978904494289 0.548869503293573 HISEQ
