"method" "batch" "dim1" "dim2"
"tSNE_plx_20" "GLPB22-B5C" 2.62786010251136 2.89349209919736
"tSNE_plx_20" "GLPB22-B5C" 1.8155269483697 0.98112326928158
"tSNE_plx_20" "GLPB22-B5C" 0.589234516988552 0.846390560263636
"tSNE_plx_20" "GLPB22-B5C" 0.416970677108123 0.811556363591616
"tSNE_plx_20" "GLPB22-B5C" -3.02024628552784 1.84762217667294
"tSNE_plx_20" "GLPB22-B5C" -0.851059554630422 1.69576111948801
"tSNE_plx_20" "GLPB22-B5C" 0.637167285515354 0.432765537744195
"tSNE_plx_20" "GLPB22-B5C" -1.82207343845398 0.478764884497255
"tSNE_plx_20" "GLPB22-B5C" -0.853671459730422 0.189153960313529
"tSNE_plx_20" "GLPB22-B5C" -1.49199576282828 3.16030259414037
"tSNE_plx_20" "GLPB22-B5C" -1.32824280477135 2.85370892983142
"tSNE_plx_20" "GLPB22-B5C" -0.205329826890218 2.70434272925725
"tSNE_plx_20" "GLPB22-B5C" 0.84574941796601 1.9834451557935
"tSNE_plx_20" "GLPB22-B5C" -0.481168147561734 1.10470060826252
"tSNE_plx_20" "GLPB22-B5C" -0.35575703413246 3.07467854948222
"tSNE_plx_20" "GLPB22-B5C" 1.80657534002346 1.18953104469537
"tSNE_plx_20" "GLPB22-B5C" 1.76478352657794 3.46358049012059
"tSNE_plx_20" "GLPB22-B5C" 0.705358771953905 3.45985028007877
"tSNE_plx_20" "GLPB22-B5C" 0.698232375605456 1.27942996196847
"tSNE_plx_20" "GLPB22-B5C" 3.05837242990408 1.17425968238981
"tSNE_plx_20" "GLPB22-B5C" 3.14456266302658 1.95968142413171
"tSNE_plx_20" "GLPB22-B5C" 1.58869250662478 -0.0142414586182843
"tSNE_plx_20" "GLPB22-B5C" -0.908910832043776 1.77752541681408
"tSNE_plx_20" "GLPB22-B5C" -1.17658636731383 1.0062891442931
"tSNE_plx_20" "GLPB22-B5C" 1.11418451844426 2.74310284627833
"tSNE_plx_20" "GLPB22-B5C" 1.96809723769406 1.97590810451869
"tSNE_plx_20" "GLPB22-B5C" -1.64586563788441 1.44711351376309
"tSNE_plx_20" "GLPB22-B5C" 1.96390816984046 0.595901497812038
"tSNE_plx_20" "GLPB22-B5C" -1.99749001718368 4.72184996745934
"tSNE_plx_20" "GLPB22-B5C" 0.526646925649458 2.53203709260533
"tSNE_plx_20" "GLPB22-B5C" -1.39460272025923 2.02680859105427
"tSNE_plx_20" "GLPB22-B5C" -0.0317498450074868 1.19542862526366
"tSNE_plx_20" "GLPB22-B5C" 0.246327088977869 0.956702958822721
"tSNE_plx_20" "GLPB22-B5C" -1.99663119019371 4.7221288924284
"tSNE_plx_20" "GLPB22-B5C" -0.231866873162851 1.03960435705424
