"method" "Instrument" "Detection_Rate" "Tumor" "dim1" "dim2"
"tSNE_plx_20" "GLPB22-B5C" 0.470184696569921 "MGH26" 26.3242597712589 11.0253084561391
"tSNE_plx_20" "GLPB22-B5C" 0.430430958663149 "MGH26" 21.9757532355284 11.3725332896524
"tSNE_plx_20" "GLPB22-B5C" 0.390853122251539 "MGH26" 24.361658174028 8.16433679806635
"tSNE_plx_20" "GLPB22-B5C" 0.445558487247142 "MGH26" 25.0423519499642 6.03069793029775
"tSNE_plx_20" "GLPB22-B5C" 0.402814423922603 "MGH26" 26.404519064681 13.4426801041741
"tSNE_plx_20" "GLPB22-B5C" 0.375197889182058 "MGH26" 27.9611520470115 7.30258126236143
"tSNE_plx_20" "GLPB22-B5C" 0.430782761653474 "MGH26" 28.0077630251903 4.14043213037417
"tSNE_plx_20" "GLPB22-B5C" 0.472295514511873 "MGH26" 28.0546532904465 9.85468467339346
"tSNE_plx_20" "GLPB22-B5C" 0.448548812664908 "MGH26" 23.8279162879258 7.04221484084526
"tSNE_plx_20" "GLPB22-B5C" 0.521899736147757 "MGH26" 28.0199427014543 -0.727503656124639
"tSNE_plx_20" "GLPB22-B5C" 0.38768689533861 "MGH26" 28.02335513213 -0.696749520573468
"tSNE_plx_20" "GLPB22-B5C" 0.450307827616535 "MGH26" 23.7129187535078 5.0119043520184
"tSNE_plx_20" "GLPB22-B5C" 0.418293755496922 "MGH26" 26.5215270624567 12.8601505686241
"tSNE_plx_20" "GLPB22-B5C" 0.418117854001759 "MGH26" 27.8296415884063 5.67086166900999
"tSNE_plx_20" "GLPB22-B5C" 0.42532981530343 "MGH26" -2.05602377009058 21.0809484325207
"tSNE_plx_20" "GLPB22-B5C" 0.364995602462621 "MGH26" 22.3628924826185 10.9657488616787
"tSNE_plx_20" "GLPB22-B5C" 0.45065963060686 "MGH26" 23.8264940683711 8.67158247944743
"tSNE_plx_20" "GLPB22-B5C" 0.440457343887423 "MGH26" 28.8066526160984 10.1145866264943
"tSNE_plx_20" "GLPB22-B5C" 0.417941952506596 "MGH26" 25.9306966360092 8.62577633296292
"tSNE_plx_20" "GLPB22-B5C" 0.423218997361478 "MGH26" 11.4230899896681 8.60644378787544
"tSNE_plx_20" "GLPB22-B5C" 0.431662269129288 "MGH26" 12.4741710098195 6.813910791735
"tSNE_plx_20" "GLPB22-B5C" 0.408091468777485 "MGH26" 19.8705761619645 12.3444103228866
"tSNE_plx_20" "GLPB22-B5C" 0.3896218117854 "MGH26" 28.043128451996 6.9367652107067
"tSNE_plx_20" "GLPB22-B5C" 0.444503078276165 "MGH26" 26.0459614403334 5.58265636135866
"tSNE_plx_20" "GLPB22-B5C" 0.465259454705365 "MGH26" 25.150738331886 12.2885915974844
"tSNE_plx_20" "GLPB22-B5C" 0.383465259454705 "MGH26" 22.7330668742172 10.4429984654813
"tSNE_plx_20" "GLPB22-B5C" 0.510114335971856 "MGH26" 25.4964500817342 4.08894855548948
"tSNE_plx_20" "GLPB22-B5C" 0.39349164467898 "MGH26" 21.0888903134282 12.1662986965292
"tSNE_plx_20" "GLPB22-B5C" 0.458751099384345 "MGH26" 31.2925095881045 4.83463146644899
"tSNE_plx_20" "GLPB22-B5C" 0.436587510993843 "MGH26" 27.6053837178278 11.0766097187057
"tSNE_plx_20" "GLPB22-B5C" 0.458047493403694 "MGH26" 27.3276642663749 10.4079907856858
"tSNE_plx_20" "GLPB22-B5C" 0.398240985048373 "MGH26" 27.0819643290409 5.75502731818596
"tSNE_plx_20" "GLPB22-B5C" 0.366930518909411 "MGH26" 24.5248979227425 6.03195994674894
"tSNE_plx_20" "GLPB22-B5C" 0.521372031662269 "MGH26" 31.2857652775715 4.83461410087447
"tSNE_plx_20" "GLPB22-B5C" 0.392612137203166 "MGH26" 26.8991412603078 7.24653682614296
"tSNE_plx_20" "GLPB22-B5C" 0.408970976253298 "MGH26" 23.5828675863718 5.13432715112558
"tSNE_plx_20" "GLPB22-B5C" 0.461389621811785 "MGH26" 27.8067863286984 10.1240591080027
"tSNE_plx_20" "GLPB22-B5C" 0.516798592788039 "MGH26" 22.9578056756702 2.09200959565142
"tSNE_plx_20" "GLPB22-B5C" 0.581002638522427 "MGH26" 25.4380288007912 2.45917573756609
"tSNE_plx_20" "GLPB22-B5C" 0.490061565523307 "MGH26" 21.6321276070119 1.7485102004214
"tSNE_plx_20" "GLPB22-B5C" 0.446789797713281 "MGH26" 26.4230658484685 5.85083118118926
"tSNE_plx_20" "GLPB22-B5C" 0.422867194371152 "MGH26" 25.7489930944949 10.1098790807281
"tSNE_plx_20" "GLPB22-B5C" 0.419876868953386 "MGH26" 25.9047765930159 6.89456017567316
"tSNE_plx_20" "GLPB22-B5C" 0.612664907651715 "MGH26" 24.9307627202241 2.32270390215857
"tSNE_plx_20" "GLPB22-B5C" 0.496569920844327 "MGH26" 26.058178173635 6.05351320571104
"tSNE_plx_20" "GLPB22-B5C" 0.401407211961302 "MGH26" 27.8763380211242 2.80203893690028
"tSNE_plx_20" "GLPB22-B5C" 0.423218997361478 "MGH26" 27.315685745987 8.40471503569978
"tSNE_plx_20" "GLPB22-B5C" 0.52401055408971 "MGH26" 26.2306964462225 4.89799798755637
"tSNE_plx_20" "GLPB22-B5C" 0.399824098504837 "MGH26" 24.7465439988762 5.29657226785399
"tSNE_plx_20" "GLPB22-B5C" 0.510290237467019 "MGH26" 24.3181769914773 2.04212977455513
"tSNE_plx_20" "GLPB22-B5C" 0.446262093227792 "MGH26" 23.3980275817098 8.68151315241456
"tSNE_plx_20" "GLPB22-B5C" 0.409322779243624 "MGH26" 24.1247824641781 7.00689721748396
"tSNE_plx_20" "GLPB22-B5C" 0.415479331574318 "MGH26" 27.3727948851235 3.95883907803825
"tSNE_plx_20" "HISEQ" 0.546525945470536 "MGH26" 18.3741294004646 6.61443718626015
"tSNE_plx_20" "HISEQ" 0.53051890941073 "MGH26" 19.5461943584082 7.11964407329492
"tSNE_plx_20" "HISEQ" 0.415127528583993 "MGH26" 21.5397067421343 11.6811681628871
"tSNE_plx_20" "HISEQ" 0.513456464379947 "MGH26" 24.0853766796771 14.1406013145208
"tSNE_plx_20" "HISEQ" 0.580650835532102 "MGH26" 17.7690267703014 5.78114368040331
"tSNE_plx_20" "HISEQ" 0.556376429199648 "MGH26" 16.2172494045173 7.98151119102539
"tSNE_plx_20" "HISEQ" 0.631310466138962 "MGH26" 12.9860074274456 5.22850468103572
"tSNE_plx_20" "HISEQ" 0.440633245382586 "MGH26" 14.0607585048152 9.7330694577639
"tSNE_plx_20" "HISEQ" 0.51363236587511 "MGH26" 18.526879807369 4.54998207713153
"tSNE_plx_20" "HISEQ" 0.597713280562885 "MGH26" 16.6476724441802 7.92467356704374
"tSNE_plx_20" "HISEQ" 0.526121372031662 "MGH26" 19.1781205285179 6.55668455901124
"tSNE_plx_20" "HISEQ" 0.527528583992964 "MGH26" 19.361591868977 6.29629118383247
"tSNE_plx_20" "HISEQ" 0.496042216358839 "MGH26" 9.57298405817295 10.60315759602
"tSNE_plx_20" "HISEQ" 0.516094986807388 "MGH26" 19.52051913362 3.82587682392091
"tSNE_plx_20" "HISEQ" 0.61882145998241 "MGH26" 16.160805997345 10.6133735659256
"tSNE_plx_20" "HISEQ" 0.592612137203166 "MGH26" 16.4481930984932 6.75754591069205
"tSNE_plx_20" "HISEQ" 0.375021987686895 "MGH26" 28.1232588713237 7.32507812632862
"tSNE_plx_20" "HISEQ" 0.356552330694811 "MGH26" 21.3143194842897 -1.68331526698141
"tSNE_plx_20" "HISEQ" 0.444678979771328 "MGH26" 20.2286162416822 3.33685135762215
"tSNE_plx_20" "HISEQ" 0.443095866314864 "MGH26" 22.8887675399932 9.19500619898296
"tSNE_plx_20" "HISEQ" 0.562532981530343 "MGH26" 18.2760821644119 6.83469715494797
"tSNE_plx_20" "HISEQ" 0.636411609498681 "MGH26" 16.7931681102397 1.32641933644342
"tSNE_plx_20" "HISEQ" 0.60457343887423 "MGH26" 14.6258531430713 7.86541094184154
"tSNE_plx_20" "HISEQ" 0.476693051890941 "MGH26" 21.2586118138493 8.38107623571102
"tSNE_plx_20" "HISEQ" 0.610202286719437 "MGH26" 17.3780207755161 5.10187797264512
"tSNE_plx_20" "HISEQ" 0.411961301671064 "MGH26" 20.5883477159289 7.31466519500918
"tSNE_plx_20" "HISEQ" 0.665259454705365 "MGH26" 16.4819318625038 1.25680450270894
"tSNE_plx_20" "HISEQ" 0.579771328056289 "MGH26" 15.5934657034406 4.32186363801097
"tSNE_plx_20" "HISEQ" 0.552682497801231 "MGH26" 17.932633545968 3.0484611780702
"tSNE_plx_20" "HISEQ" 0.53051890941073 "MGH26" 16.9708865561295 9.51113439347332
"tSNE_plx_20" "HISEQ" 0.558487247141601 "MGH26" 15.1468241261008 9.37290481535364
"tSNE_plx_20" "HISEQ" 0.534212840809147 "MGH26" 21.2970599910303 -1.6896083568826
"tSNE_plx_20" "HISEQ" 0.628320140721196 "MGH26" 16.0022846797337 7.01641585427491
"tSNE_plx_20" "HISEQ" 0.46297273526825 "MGH26" 10.699940626301 4.48777492830098
"tSNE_plx_20" "HISEQ" 0.582585751978892 "MGH26" 13.2122722586636 6.45031674676201
"tSNE_plx_20" "HISEQ" 0.427968337730871 "MGH26" 20.6666817950346 5.45662201424065
"tSNE_plx_20" "HISEQ" 0.578188214599824 "MGH26" 17.4343388857937 4.08113819535897
"tSNE_plx_20" "HISEQ" 0.667370272647318 "MGH26" 15.2963466930993 6.34150667643635
"tSNE_plx_20" "HISEQ" 0.633245382585752 "MGH26" 14.6482972815871 6.35781266739788
"tSNE_plx_20" "HISEQ" 0.671943711521548 "MGH26" 17.0416538800014 5.27812359997719
"tSNE_plx_20" "HISEQ" 0.546525945470536 "MGH26" 10.6584058395966 7.43453410623098
"tSNE_plx_20" "HISEQ" 0.628847845206684 "MGH26" 14.4147677430081 5.13545895460075
"tSNE_plx_20" "HISEQ" 0.426209322779244 "MGH26" 22.3550665697501 7.06690540524816
"tSNE_plx_20" "HISEQ" 0.522955145118734 "MGH26" 24.2496362976778 13.7552244889619
"tSNE_plx_20" "HISEQ" 0.589094107299912 "MGH26" 13.2402731226387 4.86028117177817
"tSNE_plx_20" "HISEQ" 0.535620052770449 "MGH26" 17.3635645776002 7.82338263261951
"tSNE_plx_20" "HISEQ" 0.54547053649956 "MGH26" 16.167203879842 5.86062521165457
"tSNE_plx_20" "HISEQ" 0.556376429199648 "MGH26" 11.6863803372998 5.87791274930794
"tSNE_plx_20" "HISEQ" 0.504133685136324 "MGH26" 19.3231010339813 8.14231546916707
"tSNE_plx_20" "HISEQ" 0.566578715919085 "MGH26" 14.1763892888802 8.92226510118034
"tSNE_plx_20" "HISEQ" 0.63764291996482 "MGH26" 15.0998768121125 5.50770830419827
"tSNE_plx_20" "HISEQ" 0.480386983289358 "MGH26" 24.5536185236333 12.9415954746626
"tSNE_plx_20" "HISEQ" 0.560070360598065 "MGH26" 14.3496264432011 6.92430880676855
"tSNE_plx_20" "HISEQ" 0.648372911169745 "MGH26" 15.6462016607956 5.14085864032978
"tSNE_plx_20" "HISEQ" 0.607387862796834 "MGH26" 18.1267265138798 5.00738252288678
"tSNE_plx_20" "HISEQ" 0.4948109058927 "MGH26" 15.9483564790902 11.454964976048
"tSNE_plx_20" "HISEQ" 0.625857519788918 "MGH26" 16.3289663895233 2.24742064302829
"tSNE_plx_20" "HISEQ" 0.5155672823219 "MGH26" 10.9663603617948 6.24924075452082
"tSNE_plx_20" "HISEQ" 0.430958663148637 "MGH26" 23.6812084421242 14.8317874300482
"tSNE_plx_20" "HISEQ" 0.424274406332454 "MGH26" 22.4503102936062 5.2004417649304
"tSNE_plx_20" "HISEQ" 0.667018469656992 "MGH26" 14.9532659204681 11.403840673178
"tSNE_plx_20" "HISEQ" 0.559542656112577 "MGH26" 11.6711074872215 4.27769484523224
"tSNE_plx_20" "HISEQ" 0.582058047493404 "MGH26" 13.1193751494117 5.76249404358457
"tSNE_plx_20" "HISEQ" 0.608970976253298 "MGH26" 15.2863345929532 7.14490801206347
"tSNE_plx_20" "HISEQ" 0.545118733509235 "MGH26" 11.6864072207315 7.95595603487009
"tSNE_plx_20" "HISEQ" 0.411785400175901 "MGH28" -14.1375900476099 -4.32977896362305
"tSNE_plx_20" "HISEQ" 0.537730870712401 "MGH28" -13.9775789808988 -11.0888832890571
"tSNE_plx_20" "HISEQ" 0.660686015831135 "MGH28" -10.479533337865 -0.753105203924036
"tSNE_plx_20" "HISEQ" 0.626033421284081 "MGH28" -9.38392664062604 -2.92341342228334
"tSNE_plx_20" "HISEQ" 0.641160949868074 "MGH28" -9.78765898182563 -3.56921054702313
"tSNE_plx_20" "HISEQ" 0.425857519788918 "MGH28" -2.98947164359437 -12.2453765592002
"tSNE_plx_20" "HISEQ" 0.757255936675462 "MGH28" -1.75517255219669 -2.32420926764616
"tSNE_plx_20" "HISEQ" 0.363940193491645 "MGH28" -9.88739182530354 -12.2298525550933
