x id f df sample
0.00363101833905072 0h_GSM1268960 0.323900178581533 0.00360504095584017 0h
0.273527825082246 0h_GSM1268960 0.324873167623692 0.00649502806062801 0h
0.542099530358625 0h_GSM1268960 0.326617548385753 0.0120474316024415 0h
0.808796896231511 0h_GSM1268960 0.329830566659658 0.0203733249551581 0h
1.07828874467356 0h_GSM1268960 0.335321011660734 0.0317076350659357 0h
1.34911612506944 0h_GSM1268960 0.34390830740419 0.0462082444037802 0h
1.61792376596377 0h_GSM1268960 0.356329436572239 0.0641009087202812 0h
1.88621845516496 0h_GSM1268960 0.37352736995486 0.0852395396679057 0h
2.15345839915489 0h_GSM1268960 0.396306779761439 0.107149756109348 0h
2.4237341295832 0h_GSM1268960 0.425266758359108 0.128344456600951 0h
2.69236470375791 0h_GSM1268960 0.459744003427963 0.147827854396121 0h
2.9612325068657 0h_GSM1268960 0.499490153877586 0.164434257390779 0h
3.22935258122107 0h_GSM1268960 0.543578279195771 0.176809128857858 0h
3.49842959743481 0h_GSM1268960 0.591153552028194 0.183677183225076 0h
3.76698731795228 0h_GSM1268960 0.640481477666191 0.1842075083668 0h
4.03547435432256 0h_GSM1268960 0.689938805664747 0.178552928171805 0h
4.30351775194648 0h_GSM1268960 0.737798739187617 0.167374081936513 0h
4.57158580446983 0h_GSM1268960 0.782666383375222 0.15171394146872 0h
4.84135928963419 0h_GSM1268960 0.823594782113259 0.133142928716032 0h
5.10978678523773 0h_GSM1268960 0.859334005025825 0.113395651101413 0h
5.37827577882654 0h_GSM1268960 0.889779489267391 0.0939405764321684 0h
5.64649102879964 0h_GSM1268960 0.914975784457763 0.075942308366818 0h
5.91551134011696 0h_GSM1268960 0.93540580789676 0.0607301361318611 0h
6.18365522924783 0h_GSM1268960 0.951690222786604 0.0483183384976425 0h
6.45297589073788 0h_GSM1268960 0.964703349672889 0.037972505437809 0h
6.72062049008993 0h_GSM1268960 0.974866485677185 0.0292415664296761 0h
6.9884574728114 0h_GSM1268960 0.982698458599759 0.0218656017405541 0h
7.25557626494291 0h_GSM1268960 0.988539171725924 0.0157509866304289 0h
7.52226765454839 0h_GSM1268960 0.992739824238051 0.0108127544488411 0h
7.79230226530361 0h_GSM1268960 0.995659642176835 0.00699865514344011 0h
8.05737986868106 0h_GSM1268960 0.997514828909124 0.00423548399254208 0h
8.32869287676579 0h_GSM1268960 0.998663970811835 0.00242056968240114 0h
8.58995444571044 0h_GSM1268960 0.999296372644799 0.00132398601825727 0h
8.85450065170104 0h_GSM1268960 0.999646628122714 0.000676020210888491 0h
9.13497043708197 0h_GSM1268960 0.999836231366175 0.000327469611496656 0h
9.40321445550054 0h_GSM1268960 0.999924073130673 0.000162783113397385 0h
9.63503605675665 0h_GSM1268960 0.999961809772678 7.59817103589152e-05 0h
9.93925302846228 0h_GSM1268960 0.999984924698508 3.26079059291188e-05 0h
10.192983169974 0h_GSM1268960 0.999993198307094 1.45403876175204e-05 0h
10.4646682670034 0h_GSM1268960 0.999997148713715 6.04397282207468e-06 0h
10.7499364499999 0h_GSM1268960 0.99999887286686 2.47353210020362e-06 0h
11.0155962490802 0h_GSM1268960 0.9999995299849 1.04992710883514e-06 0h
11.2719940193691 0h_GSM1268960 0.99999979918387 4.53191689451879e-07 0h
11.5228070879653 0h_GSM1268960 0.999999912850268 2.22476286717509e-07 0h
11.6902119145657 0h_GSM1268960 0.999999950093873 1.21154643926356e-07 0h
11.8912368941167 0h_GSM1268960 0.999999974448982 4.65888774110719e-08 0h
12.2983060520929 0h_GSM1268960 0.999999993413878 1.36427873261579e-08 0h
12.6102497401542 0h_GSM1268960 0.999999997669659 6.2336352102169e-09 0h
12.7470747471627 0h_GSM1268960 0.999999998522576 1.92726403297705e-09 0h
13.4365293721716 0h_GSM1268960 0.999999999851337 0 0h
0.00363101833905072 0h_GSM1268961 0.316800537052298 0.0431986208465704 0h
0.273527825082246 0h_GSM1268961 0.328459706874498 0.0464028872844227 0h
0.542099530358625 0h_GSM1268961 0.340922209442223 0.0509327290253391 0h
0.808796896231511 0h_GSM1268961 0.354505834109998 0.05689189565868 0h
1.07828874467356 0h_GSM1268961 0.369837736232428 0.0643993625328143 0h
1.34911612506944 0h_GSM1268961 0.387278846886355 0.073445477666754 0h
1.61792376596377 0h_GSM1268961 0.407021552472312 0.0839879432553741 0h
1.88621845516496 0h_GSM1268961 0.42955507160466 0.0958564135079797 0h
2.15345839915489 0h_GSM1268961 0.455171734181608 0.108344923651143 0h
2.4237341295832 0h_GSM1268961 0.48445473755962 0.120847428325595 0h
2.69236470375791 0h_GSM1268961 0.516918051618262 0.132756220204798 0h
2.9612325068657 0h_GSM1268961 0.55261192489362 0.143395930100597 0h
3.22935258122107 0h_GSM1268961 0.591059252334449 0.151958175757635 0h
3.49842959743481 0h_GSM1268961 0.631947704856596 0.157577560567772 0h
3.76698731795228 0h_GSM1268961 0.674266375327381 0.159281787917305 0h
4.03547435432256 0h_GSM1268961 0.717031470513058 0.155088357041179 0h
4.30351775194648 0h_GSM1268961 0.758601880666287 0.144928970724036 0h
4.57158580446983 0h_GSM1268961 0.797452707602493 0.13036746875213 0h
4.84135928963419 0h_GSM1268961 0.832622393999811 0.113338906456985 0h
5.10978678523773 0h_GSM1268961 0.863045672814503 0.0956978677215014 0h
5.37827577882654 0h_GSM1268961 0.888739497007645 0.0788165380600506 0h
5.64649102879964 0h_GSM1268961 0.909879294465436 0.0636108110083073 0h
5.91551134011696 0h_GSM1268961 0.926991894646037 0.0509761207439534 0h
6.18365522924783 0h_GSM1268961 0.940660829915126 0.0409665970112824 0h
6.45297589073788 0h_GSM1268961 0.951693980921201 0.0330610382586355 0h
6.72062049008993 0h_GSM1268961 0.960542589260096 0.0268166795540993 0h
6.9884574728114 0h_GSM1268961 0.967725087798475 0.0218543289696471 0h
7.25557626494291 0h_GSM1268961 0.973562789755691 0.0178948006512689 0h
7.52226765454839 0h_GSM1268961 0.978335179008091 0.0146938203505933 0h
7.79230226530361 0h_GSM1268961 0.982303019066971 0.0120966539982703 0h
8.05737986868106 0h_GSM1268961 0.985509571117719 0.00995714618096301 0h
8.32869287676579 0h_GSM1268961 0.988211074400015 0.00820438430002575 0h
8.58995444571044 0h_GSM1268961 0.990354564714465 0.00677454690202472 0h
8.85450065170104 0h_GSM1268961 0.992146745394701 0.00555078501071051 0h
