b0 b1 det_rate sample
-1.89393795492016 0.69774902884325 0.673448729628505 0h
-1.53277446036287 0.634981653227423 0.698350035428687 0h
-1.83681297534033 0.683422183873764 0.674663427472416 0h
-1.35301226906891 0.54847608623482 0.675878125316328 0h
-2.09619102740225 0.573831643192165 0.547423828322705 0h
-1.73461030639672 0.528867742494615 0.586294159327867 0h
-1.93597847834839 0.573458643318576 0.579714546006681 0h
-1.56876582910806 0.609053239605463 0.675776900496002 0h
-2.18164158056941 0.593585803731865 0.545601781556838 0h
-5.76646850539179 0.789391779058684 0.132604514626987 0h
-2.23326383156236 0.586624137049045 0.529608259945339 0h
-2.46271067639373 0.578366200075096 0.476060329992914 0h
-1.91192227451908 0.57639401363558 0.586800283429497 0h
-2.01025570402546 0.638258746701698 0.612815062253265 0h
-2.08381364391339 0.616835620060138 0.582953740257111 0h
-2.15691507871222 0.619921684566668 0.570806761817998 0h
-1.73611490720063 0.570665501103773 0.617572628808584 0h
-1.67675205461389 0.555188321035856 0.617977528089888 0h
-5.96030439565039 0.529759079307441 0.0368458345986436 0h
-1.6836878112087 0.54615630671078 0.609879542463812 0h
-1.74836037013147 0.55322804965194 0.60218645611904 0h
-2.03622602014445 0.592844432185324 0.574349630529406 0h
-5.37861540396543 0.545778272711716 0.0652900091102338 0h
-2.13963186266957 0.547449917040244 0.517157607045247 0h
-2.16140618644845 0.538504429854696 0.505213078246786 0h
-2.23677582367017 0.552407761797881 0.501062860613422 0h
-1.85657843104359 0.588202267862537 0.606640348213382 0h
-3.49571878625865 0.586658215624312 0.287883389006985 0h
-6.27862734378939 0.623191340688398 0.0455511691466748 0h
-2.16142349927932 0.514476387037333 0.484968114181597 0h
-1.67436857525596 0.529392128249685 0.599048486688936 0h
-1.51665311101177 0.54177378188178 0.639842089280292 0h
-2.30870171806769 0.570063575640202 0.500759186152445 0h
-1.48123360514375 0.568346699180893 0.665148294361777 0h
-5.81311845284606 0.556158048794222 0.0478793400141715 0h
-2.02018886931958 0.519800333785548 0.519283328272092 0h
-2.08180275122141 0.534413489264474 0.518473529709485 0h
-1.84156810197236 0.572721887978272 0.598137463306003 0h
-1.90978851947711 0.539707921385384 0.558659783378885 0h
-1.97844544558648 0.59255087588221 0.585686810405912 0h
-2.18882101086883 0.560393829183137 0.517562506326551 0h
