dim1 dim2 id batch cens_rates vamf_dim1 vamf_dim2 vamf_dim3 vamf_dim4 vamf_dim5
-2.08355343295354 2.72655224830313 1 high_detection 0.533808043944652 6.93109905723084 1.20692231487093 0.093609520802144 -0.0362031275104981 0.00860906706302868
-1.10833690329834 1.17236801608925 1 low_detection 0.973541677898073 2.94374015518344 -0.571106700405013 0.0136871692997517 -0.0608775445984294 0.0151760867650478
-1.54222640301426 3.19475221915719 1 high_detection 0.560356282106567 4.23591311117059 1.88508343966001 0.01460413643197 -0.0184439334405457 -0.0183627385488913
-2.50174617053284 3.43359475807598 1 low_detection 0.946104371002449 11.0939224356322 1.60095460234252 0.340164172429187 -0.00195281888892137 -0.0139083966598555
-1.36196298174531 2.64695493810533 1 high_detection 0.58220134633631 2.02405223283142 1.88965222547072 0.501737427724885 -0.0152394588868509 -0.00555053100935606
-3.77749578583174 3.38625198981116 1 low_detection 0.93948571097579 12.0754140527066 1.02418066709883 0.457363974690592 -0.0430815109449942 -0.0132098144112741
-1.89424890374221 1.89692992032089 1 high_detection 0.556272082713113 3.49554500421181 1.08581652504609 0.0382775179938144 -0.0115279577059105 -0.00632799605655253
-2.64988416909609 3.17408630156853 1 low_detection 0.95118189264624 9.58599485460512 0.812900741383335 0.206494258594129 0.0132146005438891 0.00309419076455254
-3.11006180340015 2.50776630253332 1 high_detection 0.567897066708653 8.42577791668844 0.355106291960499 0.0524516181067178 -0.0273372104992309 0.003184270852976
-2.56215238322283 3.25486188897229 1 low_detection 0.958531689879199 7.18012140182962 0.869980917410076 0.109291852375242 -0.0271918916564744 -0.00373542286904151
-3.10893181321758 2.79025388518596 1 high_detection 0.555603142844921 7.24129049420744 1.79107784740264 -0.0148896591811537 0.029810881771153 0.00284957494620172
-2.8778507730621 1.87119456655918 1 low_detection 0.95904350638548 10.6838048901435 -0.245139075303857 -0.0907627194812808 -0.0137805490118651 -0.00866449635058703
-3.29457547955794 2.27700754216818 1 high_detection 0.573001237730724 9.46679227806641 1.04971216632991 0.169173841454093 0.0491270875692121 0.00437522703246067
