b0 b1 det_rate
-2.2011084550262 0.520657832497118 0.429608994129937
-3.17953116596825 0.547799858752664 0.280071634663218
-3.1013293748687 0.58889891925412 0.319172221669486
-3.38119913436513 0.604690401723826 0.286737638045966
-3.00373887405494 0.582758397746901 0.330713361854542
-2.75842578976167 0.621427750442515 0.396875932743011
-3.02610803013323 0.563879933372671 0.314595562630584
-2.93100373451034 0.574208962008558 0.336881902298279
-2.74227198005604 0.542878869846003 0.347328624017511
-3.13847809475488 0.513619511805071 0.263754850263655
-3.34315934103564 0.554245802246392 0.260073624514974
-2.90350255394626 0.404854011660666 0.226544622425629
-2.80771806909567 0.432198964972076 0.259775146751567
-2.61376611371873 0.551933418293409 0.375783504128942
-3.31178392821421 0.563106790759256 0.270321361058601
-2.37441004518097 0.486133469203125 0.372898219082678
-3.62616732647307 0.510963738441783 0.195403442443538
-3.11993607876822 0.6137311737173 0.332404735847179
